gene,beta_mean,beta_sd,psp,lfsr,tau_beta_mean,tau_u_mean,phi_mean,n_obs,n_sgrna,n_sample,batch_size
FAM43A,0.03789062371848655,0.3219839148742795,0.558,0.44199999999999995,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
FAM58A,0.14808139265737877,0.333056085957179,0.668,0.33199999999999996,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
FAM83E,-0.010769571453434932,0.30892655751483616,0.492,0.492,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
FAM98C,-0.07062302624455309,0.33523425857791606,0.416,0.416,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
FANCM,-0.21660834611395227,0.3302375994751321,0.245,0.245,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
FBP1,-0.09690997669682717,0.33110263941460577,0.388,0.388,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
FBXL3,-0.08679878055558161,0.33894081089755157,0.395,0.395,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
FBXO39,0.05095372870034703,0.31552560724705564,0.568,0.43200000000000005,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
FBXO5,-0.07782039136916713,0.32427805090198963,0.411,0.411,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
FCGRT,-0.005391043700551644,0.3249891917093644,0.496,0.496,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
FKBP15,0.1704779674755921,0.31711502056501034,0.716,0.28400000000000003,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
FPR3,0.1494228978443191,0.33216077372747405,0.675,0.32499999999999996,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
FRMPD4,-0.03619253766317102,0.3252861907213416,0.439,0.439,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
FSHR,0.038856494628270705,0.3324377971252066,0.558,0.44199999999999995,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
GAGE10,0.10183486346252278,0.3174399465115013,0.621,0.379,0.4642382351706752,1.5244938516894624,0.3778457202886702,16,4,4,500
